Fecha,Agente,Tipo de ejercicio,Tipo de practica,Numero de practica,Sensor,Valor de Sensor,Tiempo,Musculo
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77106,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77138,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77172,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77200,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77235,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77284,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77317,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77354,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77387,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77435,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77477,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77510,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,174,77540,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77576,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77618,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77657,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77690,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77738,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77771,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77803,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77840,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77884,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77921,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,77959,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,174,77992,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,78025,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,78066,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,174,78097,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,173,78123,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,173,78156,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,169,78210,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,167,78259,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,165,78292,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,163,78323,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,160,78356,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,157,78397,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,155,78435,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,154,78477,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,152,78507,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,148,78567,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,146,78609,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,144,78640,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,141,78675,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,139,78707,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,137,78727,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,135,78769,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78808,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78848,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78882,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78914,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78960,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,78997,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79035,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79075,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79112,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79160,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79183,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,134,79229,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,132,79269,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,127,79306,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,124,79339,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,121,79376,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,118,79415,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,115,79465,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,112,79505,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,109,79537,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,107,79573,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,104,79606,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,100,79650,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,96,79692,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,94,79743,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,94,79782,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,94,79822,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,94,79854,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,96,79888,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,100,79922,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,105,79952,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,111,79985,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,121,80021,
